Red: Red de Vigilancia y Control de la Contaminación Atmosférica
Estación: 46250050-València - Bulevard Sud
	
FECHA	HORA	SO2	NO	NO2	NOx	O3
		µg/m³	µg/m³	µg/m³	µg/m³	µg/m³
07/01/2024	19	3	10	33	49	39
07/01/2024	20	3	4	31	37	38
07/01/2024	21	3	4	28	35	37
07/01/2024	22	3	3	17	22	46
07/01/2024	23	3	3	4	9	59
08/01/2024	00	3	3	4	9	67
08/01/2024	01	3	3	4	9	56
08/01/2024	02	3	3	4	8	65
08/01/2024	03	3	3	4	8	70
08/01/2024	04	4	3	4	8	62
08/01/2024	05	4	3	9	14	49
08/01/2024	06	4	3	7	12	55
08/01/2024	07	4	5	20	28	42
08/01/2024	08	4	11	31	48	34
08/01/2024	09	4	9	23	37	35
08/01/2024	10	4	3	5	10	54
08/01/2024	11	3	3	4	10	59
08/01/2024	12	3	3	4	9	63
08/01/2024	13	3	4	4	9	69
08/01/2024	14	3	4	5	11	72
08/01/2024	15	3	4	5	11	69
08/01/2024	16	3	5	18	25	57
08/01/2024	17	3	10	41	56	37
08/01/2024	18	3	13	50	70	28
08/01/2024	19	5	83	81	209	3
08/01/2024	20	5	133	84	288	3
08/01/2024	21	4	66	62	164	6
08/01/2024	22	3	15	50	73	6
08/01/2024	23	3	9	47	61	7
09/01/2024	00	3	14	44	65	4
09/01/2024	01	3	9	40	53	5
09/01/2024	02	3	6	30	40	11
09/01/2024	03	3	19	39	67	3
09/01/2024	04	3	14	33	55	3
09/01/2024	05	3	17	33	59	3
09/01/2024	06	4	23	38	74	3
09/01/2024	07	5	49	51	125	3
09/01/2024	08	6	84	53	182	3
09/01/2024	09	6	116	62	239	3
09/01/2024	10	4	66	54	156	7
09/01/2024	11	7	35	47	101	17
09/01/2024	12	6	23	35	71	28
09/01/2024	13	5	15	33	56	35
09/01/2024	14	5	17	40	67	29
09/01/2024	15	4	20	38	68	32
09/01/2024	16	3	10	21	36	52
09/01/2024	17	3	13	32	52	46
09/01/2024	18	3	15	38	60	39
09/01/2024	19	3	14	40	61	34
09/01/2024	20	3	10	39	53	32
09/01/2024	21	3	5	24	31	42
09/01/2024	22	3	4	15	21	49
09/01/2024	23	3	3	10	15	52
10/01/2024	00	3	3	33	38	13
10/01/2024	01	3	3	31	36	15
10/01/2024	02	3	3	36	41	9
10/01/2024	03	3	3	28	33	11
10/01/2024	04	3	8	28	40	10
10/01/2024	05	3	10	33	48	3
10/01/2024	06	3	33	41	92	3
10/01/2024	07	3	47	45	118	3
10/01/2024	08	3	78	45	165	3
